"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1961","1961",111.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1962","1962",114.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1963","1963",119,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1964","1964",121.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1965","1965",120.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1966","1966",121,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1967","1967",121,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1968","1968",122,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1969","1969",122.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1970","1970",124.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1971","1971",127.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1972","1972",129.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1973","1973",132.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1974","1974",128.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1975","1975",128.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1976","1976",136.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1977","1977",135.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1978","1978",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1979","1979",142.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1980","1980",147.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1981","1981",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1982","1982",152.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1983","1983",151.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1984","1984",151.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1985","1985",154.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1986","1986",154.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1987","1987",154.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1988","1988",150.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1989","1989",155.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1990","1990",156.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1991","1991",159.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1992","1992",161.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1993","1993",159.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1994","1994",158.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1995","1995",152.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1996","1996",155.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1997","1997",156.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1998","1998",156.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","1999","1999",157.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2000","2000",159,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2001","2001",160.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2002","2002",154.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2003","2003",151.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2004","2004",155.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2005","2005",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2006","2006",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2007","2007",162.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2008","2008",161.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2009","2009",167.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2010","2010",174.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2011","2011",173.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2012","2012",172.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2013","2013",171.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2014","2014",162.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2015","2015",163.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2016","2016",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2017","2017",165.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2018","2018",166,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2019","2019",178.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2020","2020",183.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2000","2000",161.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2001","2001",164.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2002","2002",165.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2003","2003",162.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2004","2004",160.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2005","2005",163.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2006","2006",163.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2007","2007",165.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2008","2008",162.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2009","2009",159.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2010","2010",161.3,"B","Break"
